stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
8225,C8225,,Av Armada Argentina 1650,-31.4670163391,-64.2242738057,Av Armada Argentina 1650,,,Entre Lago Argentino Y Penitente (Cpc)
8226,C8226,,Av Armada Argentina 1830,-31.4694980427,-64.2273340143,Av Armada Argentina 1830,,,Esq. Baltimore
8227,C8227,,Av Armada Argentina 2120,-31.4727168752,-64.2312541027,Av Armada Argentina 2120,,,Esq. Av. Renault Argentina
8228,C8228,,Jose Benito Cottolengo 1710,-31.4767614172,-64.2340306722,Jose Benito Cottolengo 1710,,,Esq. Yocsina
8229,C8229,,Cleveland 5700,-31.478694042,-64.2330896292,Cleveland 5700,,,Esq. Isla Verde
8230,C8230,,Cajamarca 1915,-31.4797024247,-64.2317988209,Cajamarca 1915,,,Esq. Altos Del Chipion
8231,C8231,,Cajamarca 1815,-31.4796811131,-64.2299862078,Cajamarca 1815,,,Esq. Alto Del Tala
8232,C8232,,Cajamarca 1627,-31.4796825346,-64.2273478156,Cajamarca 1627,,,Esq. Cumbre Del Perchel
8233,C8233,,Cajamarca 1511,-31.4796809599,-64.2266156612,Cajamarca 1511,,,Esq. Congreso
8234,C8234,,Cajamarca 1385,-31.4800533133,-64.2244306278,Cajamarca 1385,,,Esq. Rio Negro
8235,C8235,,Rio Negro 5700,-31.4790534321,-64.2239494242,Rio Negro 5700,,,Esq. Mercedes
8236,C8236,,Rio Negro 5500,-31.4765390697,-64.223239834,Rio Negro 5500,,,Esq. Gobernacion
8237,C8237,,Rio Negro 5698,-31.4786684382,-64.2239779101,Rio Negro 5698,,,Esq. Mercedes
8238,C8238,,Cajamarca 1476,-31.4797230304,-64.2257796535,Cajamarca 1476,,,Entre Forestieri Y Congreso
8239,C8239,,Cleveland 5725,-31.479261309,-64.2330436289,Cleveland 5725,,,Entre Cajamarca E Isla Verde
8240,C8240,,Jose Benito Cottolengo 1713,-31.476521302,-64.2342183846,Jose Benito Cottolengo 1713,,,Esq. Rio Colorado
8241,C8241,,Av Armada Argentina 2131,-31.4730263452,-64.231072203,Av Armada Argentina 2131,,, Esq. Bogota Regreso
8242,C8242,,Av Armada Argentina 2000,-31.4712182594,-64.2289264809,Av Armada Argentina 2000,,,Esq. Chuña Huasi Regreso
8243,C8243,,Av Armada Argentina 1889,-31.4685114914,-64.2257112848,Av Armada Argentina 1889,,,Esq. Cumbre Del Perchel Regreso
8244,C8244,,Lago Argentino 1900,-31.4657192318,-64.2246353492,Lago Argentino 1900,,,Entre Av. Armada Argentina Y Rio Deseado (Cpc)
8245,C8245,,Esq. Av. Casado,-31.4645835809,-64.226009054,Esq. Av. Casado,,,Esq. Av. Casado
8246,C8246,,Esq. Nosikoski,-31.4660933537,-64.22848616,Esq. Nosikoski,,,Esq. Nosikoski
8247,C8247,,Esq. Brasich,-31.4673362191,-64.2298725284,Esq. Brasich,,,Esq. Brasich
